user_id,group,converted,revenue,session_duration_sec,pages_viewed,clicks,device_type,traffic_source,date
usr_a_10000,A,0,0.00,157,4,19,Mobile,Email,2026-05-01
usr_a_10001,A,0,0.00,166,2,21,Mobile,Organic,2026-05-01
usr_a_10002,A,0,0.00,167,2,13,Desktop,Organic,2026-05-01
usr_a_10003,A,1,0.00,168,6,17,Desktop,Email,2026-05-01
usr_a_10004,A,0,0.00,199,4,23,Mobile,Organic,2026-05-01
usr_a_10005,A,0,0.00,160,3,17,Mobile,Paid,2026-05-01
usr_a_10006,A,0,0.00,196,3,21,Mobile,Organic,2026-05-01
usr_a_10007,A,0,0.00,133,5,16,Mobile,Paid,2026-05-01
usr_a_10008,A,1,0.00,138,2,10,Mobile,Paid,2026-05-01
usr_a_10009,A,1,0.00,166,2,18,Mobile,Organic,2026-05-01
usr_a_10010,A,1,0.00,150,4,14,Desktop,Email,2026-05-01
usr_a_10011,A,1,0.00,160,6,24,Desktop,Paid,2026-05-01
usr_a_10012,A,0,0.00,132,4,18,Mobile,Paid,2026-05-01
usr_a_10013,A,1,0.00,139,3,12,Mobile,Paid,2026-05-01
usr_a_10014,A,1,0.00,166,4,19,Desktop,Paid,2026-05-01
usr_a_10015,A,0,0.00,153,2,17,Desktop,Paid,2026-05-01
usr_a_10016,A,1,0.00,139,6,11,Mobile,Paid,2026-05-01
usr_a_10017,A,1,0.00,200,3,12,Desktop,Organic,2026-05-01
usr_a_10018,A,1,0.00,151,5,19,Mobile,Paid,2026-05-01
usr_a_10019,A,0,0.00,130,6,12,Mobile,Paid,2026-05-01
usr_a_10020,A,1,0.00,196,6,17,Mobile,Organic,2026-05-01
usr_a_10021,A,0,0.00,164,4,24,Mobile,Paid,2026-05-01
usr_a_10022,A,1,0.00,169,6,12,Desktop,Paid,2026-05-01
usr_a_10023,A,1,0.00,147,3,17,Desktop,Paid,2026-05-01
usr_a_10024,A,0,0.00,174,5,10,Mobile,Organic,2026-05-01
usr_a_10025,A,1,0.00,166,2,14,Mobile,Email,2026-05-01
usr_a_10026,A,1,0.00,168,4,11,Desktop,Organic,2026-05-01
usr_a_10027,A,1,0.00,186,6,15,Mobile,Organic,2026-05-01
usr_a_10028,A,1,0.00,160,6,21,Desktop,Organic,2026-05-01
usr_a_10029,A,0,0.00,200,2,13,Desktop,Organic,2026-05-01
usr_a_10030,A,0,0.00,156,2,10,Mobile,Organic,2026-05-01
usr_a_10031,A,0,0.00,156,2,17,Mobile,Paid,2026-05-01
usr_a_10032,A,1,0.00,136,2,13,Mobile,Email,2026-05-01
usr_a_10033,A,0,0.00,133,4,23,Mobile,Email,2026-05-01
usr_a_10034,A,0,0.00,173,3,10,Mobile,Organic,2026-05-01
usr_a_10035,A,0,0.00,162,3,19,Desktop,Paid,2026-05-01
usr_a_10036,A,1,0.00,167,4,14,Mobile,Organic,2026-05-01
usr_a_10037,A,0,0.00,133,6,12,Mobile,Email,2026-05-01
usr_a_10038,A,0,0.00,143,4,20,Mobile,Paid,2026-05-01
usr_a_10039,A,0,0.00,191,4,16,Desktop,Organic,2026-05-01
usr_a_10040,A,1,0.00,151,3,11,Mobile,Paid,2026-05-01
usr_a_10041,A,1,0.00,154,2,19,Mobile,Paid,2026-05-01
usr_a_10042,A,1,0.00,151,6,18,Desktop,Paid,2026-05-01
usr_a_10043,A,0,0.00,157,6,17,Mobile,Paid,2026-05-01
usr_a_10044,A,0,0.00,141,3,10,Mobile,Paid,2026-05-01
usr_a_10045,A,0,0.00,163,2,16,Desktop,Organic,2026-05-01
usr_a_10046,A,1,0.00,137,3,10,Desktop,Paid,2026-05-01
usr_a_10047,A,0,0.00,190,3,17,Mobile,Organic,2026-05-01
usr_a_10048,A,0,0.00,190,5,20,Mobile,Organic,2026-05-01
usr_a_10049,A,1,0.00,159,5,12,Desktop,Paid,2026-05-01
usr_a_10050,A,0,0.00,135,3,23,Mobile,Paid,2026-05-01
usr_a_10051,A,0,0.00,131,2,22,Mobile,Paid,2026-05-01
usr_a_10052,A,0,0.00,185,4,10,Desktop,Organic,2026-05-01
usr_a_10053,A,0,0.00,137,4,24,Mobile,Email,2026-05-01
usr_a_10054,A,0,0.00,185,4,18,Mobile,Organic,2026-05-01
usr_a_10055,A,0,0.00,140,5,12,Mobile,Paid,2026-05-01
usr_a_10056,A,1,0.00,147,6,16,Desktop,Paid,2026-05-01
usr_a_10057,A,0,0.00,192,5,13,Mobile,Organic,2026-05-01
usr_a_10058,A,0,0.00,136,2,24,Mobile,Paid,2026-05-01
usr_a_10059,A,0,0.00,175,4,24,Mobile,Organic,2026-05-01
usr_a_10060,A,0,0.00,188,6,18,Mobile,Organic,2026-05-01
usr_a_10061,A,0,0.00,186,5,12,Desktop,Organic,2026-05-01
usr_a_10062,A,1,0.00,162,6,19,Desktop,Organic,2026-05-01
usr_a_10063,A,1,0.00,164,3,21,Desktop,Organic,2026-05-01
usr_a_10064,A,1,0.00,191,4,16,Mobile,Organic,2026-05-01
usr_a_10065,A,1,0.00,143,6,20,Desktop,Paid,2026-05-01
